timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690559699119,12697,Ipad-1,200,OK,Thread Group 1-1,text,true,,280768,123,50,50,https://www.apple.com/ipad/,1717,0,1218
1690559699597,12385,Ipad,200,OK,Thread Group 1-43,text,true,,281201,246,50,50,https://www.apple.com/ipad/,55,0,20
1690559699597,55,Ipad-0,301,Moved Permanently,Thread Group 1-43,,true,,433,123,50,50,http://www.apple.com/ipad/,55,0,20
1690559699653,12329,Ipad-1,200,OK,Thread Group 1-43,text,true,,280768,123,50,50,https://www.apple.com/ipad/,991,0,623
1690559698989,13070,Ipad,200,OK,Thread Group 1-6,text,true,,281197,246,50,50,https://www.apple.com/ipad/,113,0,85
1690559698989,121,Ipad-0,301,Moved Permanently,Thread Group 1-6,,true,,433,123,50,50,http://www.apple.com/ipad/,113,0,85
1690559699115,12944,Ipad-1,200,OK,Thread Group 1-6,text,true,,280764,123,50,50,https://www.apple.com/ipad/,1428,0,1148
1690559699238,13486,Ipad,200,OK,Thread Group 1-25,text,true,,281201,246,50,50,https://www.apple.com/ipad/,28,0,15
1690559699238,28,Ipad-0,301,Moved Permanently,Thread Group 1-25,,true,,433,123,50,50,http://www.apple.com/ipad/,28,0,15
1690559699267,13457,Ipad-1,200,OK,Thread Group 1-25,text,true,,280768,123,50,50,https://www.apple.com/ipad/,2102,0,1365
1690559698990,14064,Ipad,200,OK,Thread Group 1-9,text,true,,281197,246,50,50,https://www.apple.com/ipad/,113,0,85
1690559698990,121,Ipad-0,301,Moved Permanently,Thread Group 1-9,,true,,433,123,50,50,http://www.apple.com/ipad/,113,0,85
1690559699120,13934,Ipad-1,200,OK,Thread Group 1-9,text,true,,280764,123,50,50,https://www.apple.com/ipad/,1271,0,1150
1690559699216,13880,Ipad,200,OK,Thread Group 1-24,text,true,,281201,246,50,50,https://www.apple.com/ipad/,38,0,16
1690559699216,38,Ipad-0,301,Moved Permanently,Thread Group 1-24,,true,,433,123,50,50,http://www.apple.com/ipad/,38,0,16
1690559699255,13841,Ipad-1,200,OK,Thread Group 1-24,text,true,,280768,123,50,50,https://www.apple.com/ipad/,1135,0,1016
1690559698992,14751,Ipad,200,OK,Thread Group 1-11,text,true,,281201,246,50,50,https://www.apple.com/ipad/,111,0,83
1690559698992,119,Ipad-0,301,Moved Permanently,Thread Group 1-11,,true,,433,123,50,50,http://www.apple.com/ipad/,111,0,83
1690559699116,14627,Ipad-1,200,OK,Thread Group 1-11,text,true,,280768,123,50,50,https://www.apple.com/ipad/,2292,0,1111
1690559698996,15099,Ipad,200,OK,Thread Group 1-13,text,true,,281201,246,50,50,https://www.apple.com/ipad/,111,0,79
1690559698996,115,Ipad-0,301,Moved Permanently,Thread Group 1-13,,true,,433,123,50,50,http://www.apple.com/ipad/,111,0,79
1690559699116,14979,Ipad-1,200,OK,Thread Group 1-13,text,true,,280768,123,50,50,https://www.apple.com/ipad/,3915,0,3482
1690559699102,15128,Ipad,200,OK,Thread Group 1-17,text,true,,281201,246,50,50,https://www.apple.com/ipad/,51,0,33
1690559699102,51,Ipad-0,301,Moved Permanently,Thread Group 1-17,,true,,433,123,50,50,http://www.apple.com/ipad/,51,0,33
1690559699154,15076,Ipad-1,200,OK,Thread Group 1-17,text,true,,280768,123,50,50,https://www.apple.com/ipad/,2768,0,2339
1690559698990,15272,Ipad,200,OK,Thread Group 1-8,text,true,,281201,246,50,50,https://www.apple.com/ipad/,117,0,86
1690559698990,121,Ipad-0,301,Moved Permanently,Thread Group 1-8,,true,,433,123,50,50,http://www.apple.com/ipad/,117,0,86
1690559699118,15144,Ipad-1,200,OK,Thread Group 1-8,text,true,,280768,123,50,50,https://www.apple.com/ipad/,4927,0,4660
1690559699556,14817,Ipad,200,OK,Thread Group 1-41,text,true,,281201,246,50,50,https://www.apple.com/ipad/,45,0,29
1690559699556,45,Ipad-0,301,Moved Permanently,Thread Group 1-41,,true,,433,123,50,50,http://www.apple.com/ipad/,45,0,29
1690559699601,14772,Ipad-1,200,OK,Thread Group 1-41,text,true,,280768,123,50,50,https://www.apple.com/ipad/,890,0,667
